Name,Code,Unit,Prices - Unit price,Category,Active flag
"Změna hloubky na 1,3 m",PRI-001,ks,4500.0,prislusenstvi,1
"Změna hloubky na 1,4 m",PRI-002,ks,6500.0,prislusenstvi,1
"Změna hloubky na 1,5 m",PRI-003,ks,6500.0,prislusenstvi,1
Příplatek za ostré rohy skeletu,PRI-004,ks,6400.0,prislusenstvi,1
Schody přes celou šíři bazénu,PRI-005,ks,15090.0,prislusenstvi,1
Vnitřní trojúhelníkové schody,PRI-006,ks,7600.0,prislusenstvi,1
Románské vnější schody,PRI-007,ks,5600.0,prislusenstvi,1
Bílá barva skeletu,PRI-008,ks,0.0,prislusenstvi,1
Šedá RAL 7032 barva skeletu,PRI-009,ks,0.0,prislusenstvi,1
Šedá RAL 7037 barva skeletu,PRI-010,ks,0.0,prislusenstvi,1
Dávkovač pevných látek do potrubí vč. montáže,PRI-011,ks,3900.0,prislusenstvi,1
ZODIAC EI2 do 40m3 vody úprava slanou vodou vč. montáže,PRI-012,ks,26698.0,prislusenstvi,1
AutochlorPIXIE RP10 -úprava slanou vodou vč. montáže,PRI-013,ks,19400.0,prislusenstvi,1
Bazénová sůl - 25kg/balení,PRI-014,ks,300.0,prislusenstvi,1
UV LAMAPA 40W do 35m3 bazénu,PRI-015,ks,10780.0,prislusenstvi,1
Dávkovací pumpa SEKO VA DOS ECO pH + pH sonda vč. montáže a kalibrace,PRI-016,ks,11047.0,prislusenstvi,1
Dávkovací pumpa SEKO VA DOS ECO ORP + ORP sonda vč. montáže a kalibrace,PRI-017,ks,11120.0,prislusenstvi,1
Dávkovací pumpa ZODIAC pH Expert,PRI-018,ks,14867.0,prislusenstvi,1
Protiproud Elegance 70m3/hod 400V vč. montáže,PRI-019,ks,28500.0,prislusenstvi,1
Šachta na filtraci 1x1x1 m,PRI-020,ks,7500.0,prislusenstvi,1
"Šachta na filtraci a protiproud 1,2x1,2x1 m",PRI-021,ks,10900.0,prislusenstvi,1
"Šachta na protiproud 0,7x1,2x0,75 m",PRI-022,ks,6800.0,prislusenstvi,1
Vodotěsný prostup do filtrační šachty 50mm,PRI-023,ks,180.0,prislusenstvi,1
Vodotěsný prostup do filtrační šachty 63 mm,PRI-024,ks,380.0,prislusenstvi,1
Vodotěsný prostup do filtrační šachty 75 mm,PRI-025,ks,480.0,prislusenstvi,1
Propojovací materiál nad rámec setu,PRI-026,ks,1550.0,prislusenstvi,1
Odbočka na ohřev,PRI-027,ks,3000.0,prislusenstvi,1
