name,code,category,unit,prices[0][price],prices[0][currency]
"Bazén obdélník SKIMMER 2×5×1.2m",BAZ-OBD-SK-2-5-1.2,bazeny,ks,30500,CZK
"Bazén obdélník SKIMMER 2×6×1.2m",BAZ-OBD-SK-2-6-1.2,bazeny,ks,36000,CZK
"Bazén obdélník SKIMMER 2.5×5×1.2m",BAZ-OBD-SK-2.5-5-1.2,bazeny,ks,34000,CZK
"Bazén obdélník SKIMMER 2.5×6×1.2m",BAZ-OBD-SK-2.5-6-1.2,bazeny,ks,40000,CZK
"Bazén obdélník SKIMMER 2.5×7×1.2m",BAZ-OBD-SK-2.5-7-1.2,bazeny,ks,46000,CZK
"Bazén obdélník SKIMMER 3×5×1.2m",BAZ-OBD-SK-3-5-1.2,bazeny,ks,38000,CZK
"Bazén obdélník SKIMMER 3×6×1.2m",BAZ-OBD-SK-3-6-1.2,bazeny,ks,44500,CZK
"Bazén obdélník SKIMMER 3×7×1.2m",BAZ-OBD-SK-3-7-1.2,bazeny,ks,51000,CZK
"Bazén obdélník SKIMMER 3×8×1.2m",BAZ-OBD-SK-3-8-1.2,bazeny,ks,63000,CZK
"Bazén obdélník SKIMMER 3.5×5×1.2m",BAZ-OBD-SK-3.5-5-1.2,bazeny,ks,44000,CZK
"Bazén obdélník SKIMMER 3.5×6×1.2m",BAZ-OBD-SK-3.5-6-1.2,bazeny,ks,52000,CZK
"Bazén obdélník SKIMMER 3.5×7×1.2m",BAZ-OBD-SK-3.5-7-1.2,bazeny,ks,59500,CZK
"Bazén obdélník SKIMMER 3.5×8×1.2m",BAZ-OBD-SK-3.5-8-1.2,bazeny,ks,70500,CZK
"Bazén obdélník SKIMMER 4×6×1.2m",BAZ-OBD-SK-4-6-1.2,bazeny,ks,58500,CZK
"Bazén obdélník SKIMMER 4×7×1.2m",BAZ-OBD-SK-4-7-1.2,bazeny,ks,68000,CZK
"Bazén obdélník SKIMMER 4×8×1.2m",BAZ-OBD-SK-4-8-1.2,bazeny,ks,76500,CZK
